### reconcile mint snapshot for homegarden.uk — captured 2026-08-25 11:34:22Z
### For the bugfix_206_directory_build_handler lane, on their request and with their query VERBATIM.
### UNFILTERED on created_by, deliberately: their RUNBOOK filters created_by='reconcile_site_plan',
### which returns empty on a successful build that minted through WriteBuildItemsAction instead —
### and would then read as a failure. The unfiltered version shows WHICH DOOR actually fired.
### untouched_since_emit is their gate: any write bumps updated_at, including a legitimate claim.

Output format is unaligned.
SET
item_key|item_type|handler_agent|status|page_type|stamped|created_at|updated_at|created_by|untouched_since_emit
needs_page:this-month-index|needs_page|page-build-handler|triaged|section-index|t|2026-08-25 11:31:05.210259+00|2026-08-25 11:31:05.210259+00|reconcile_site_plan|t
reconcile_rerender:71674bef-2f26-4442-81f5-c49b5bde1153|needs_rerender|rerender-pages|triaged||f|2026-08-25 11:31:05.210259+00|2026-08-25 11:31:05.210259+00|reconcile_site_plan|t
needs_composition|needs_composition|site-design-planner|triaged||f|2026-08-25 11:31:07.52699+00|2026-08-25 11:31:07.52699+00|build-site-planner|t
needs_design|needs_design|webdesign-agent|triaged||f|2026-08-25 11:31:07.52699+00|2026-08-25 11:31:07.52699+00|build-site-planner|t
needs_imagery:page:about:hero_about|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:comparisons-index:hero_comparisons|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:contact:hero_contact|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:garden-index:hero_garden|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:home-maintenance-index:hero_home_maintenance|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:index:hero_home|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:shed-and-outbuildings-index:hero_shed|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:page:this-month-index:hero_this_month|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:section:index:1:icon_checklist|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:section:index:1:icon_option_comparison|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:section:index:1:icon_seasonal_calendar|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:section:index:1:icon_uk_map|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
needs_imagery:site:-:logo|needs_imagery|image-build-handler|triaged||f|2026-08-25 11:31:12.74617+00|2026-08-25 11:31:12.74617+00|build-site-planner|t
